iso_time,epoch_seconds,sample_index,q1_raw,q1_valid,q2_raw,q2_valid,q1_baseline,q2_baseline,event
2026-09-08T11:56:38.379,1788848798.3797,1,1899,1,0,0,,,
2026-09-08T11:56:38.411,1788848798.4113,2,-12128,1,0,0,,,
2026-09-08T11:56:38.445,1788848798.4451,3,-11901,1,0,0,,,
2026-09-08T11:56:38.474,1788848798.4747,4,-12132,1,0,0,,,
2026-09-08T11:56:38.506,1788848798.5064,5,-12604,1,0,0,,,
2026-09-08T11:56:38.538,1788848798.5386,6,-12734,1,0,0,,,
2026-09-08T11:56:38.559,1788848798.5591,7,-12463,1,0,0,,,
2026-09-08T11:56:38.602,1788848798.6028,8,-11826,1,0,0,,,
2026-09-08T11:56:38.634,1788848798.6344,9,-11466,1,0,0,,,
2026-09-08T11:56:38.650,1788848798.6507,10,-11362,1,0,0,,,
2026-09-08T11:56:38.698,1788848798.6989,11,-11876,1,0,0,,,
2026-09-08T11:56:38.714,1788848798.7149,12,-12298,1,0,0,,,
2026-09-08T11:56:38.747,1788848798.7471,13,-12670,1,0,0,,,
2026-09-08T11:56:38.764,1788848798.7647,14,-12353,1,0,0,,,
2026-09-08T11:56:38.812,1788848798.8121,15,-11725,1,0,0,,,
2026-09-08T11:56:38.840,1788848798.8410,16,-11351,1,0,0,,,
2026-09-08T11:56:38.871,1788848798.8718,17,-11294,1,0,0,,,
2026-09-08T11:56:38.905,1788848798.9055,18,-11753,1,0,0,,,
2026-09-08T11:56:38.929,1788848798.9297,19,-12174,1,0,0,,,
2026-09-08T11:56:38.960,1788848798.9600,20,-12449,1,0,0,,,
2026-09-08T11:56:38.988,1788848798.9886,21,-12270,1,0,0,,,
2026-09-08T11:56:39.021,1788848799.0213,22,-11920,1,0,0,,,
2026-09-08T11:56:39.049,1788848799.0498,23,-11400,1,0,0,,,
2026-09-08T11:56:39.081,1788848799.0819,24,-11237,1,0,0,,,
2026-09-08T11:56:39.101,1788848799.1013,25,-11468,1,0,0,,,
2026-09-08T11:56:39.130,1788848799.1307,26,-11984,1,0,0,,,
2026-09-08T11:56:39.162,1788848799.1627,27,-12310,1,0,0,,,
2026-09-08T11:56:39.197,1788848799.1974,28,-12258,1,0,0,,,
2026-09-08T11:56:39.228,1788848799.2288,29,-11801,1,0,0,,,
2026-09-08T11:56:39.261,1788848799.2615,30,-11039,1,0,0,,,
2026-09-08T11:56:39.278,1788848799.2787,31,-10759,1,0,0,,,
2026-09-08T11:56:39.322,1788848799.3221,32,-10922,1,0,0,,,
2026-09-08T11:56:39.339,1788848799.3394,33,-11611,1,0,0,,,
2026-09-08T11:56:39.371,1788848799.3715,34,-12049,1,0,0,,,
2026-09-08T11:56:39.403,1788848799.4035,35,-12286,1,0,0,,,
2026-09-08T11:56:39.436,1788848799.4362,36,-11778,1,0,0,,,
2026-09-08T11:56:39.467,1788848799.4675,37,-11316,1,0,0,,,
2026-09-08T11:56:39.501,1788848799.5020,38,-10808,1,0,0,,,
2026-09-08T11:56:39.529,1788848799.5294,39,-11083,1,0,0,,,
2026-09-08T11:56:39.563,1788848799.5639,40,-11537,1,0,0,,,
2026-09-08T11:56:39.578,1788848799.5788,41,-12230,1,0,0,,,
2026-09-08T11:56:39.608,1788848799.6088,42,-12292,1,0,0,,,
2026-09-08T11:56:39.640,1788848799.6409,43,-12091,1,0,0,,,
2026-09-08T11:56:39.672,1788848799.6730,44,-11439,1,0,0,,,
2026-09-08T11:56:39.704,1788848799.7050,45,-11060,1,0,0,,,
2026-09-08T11:56:39.736,1788848799.7369,46,-10997,1,0,0,,,
2026-09-08T11:56:39.768,1788848799.7685,47,-11621,1,0,0,,,
2026-09-08T11:56:39.800,1788848799.8003,48,-12151,1,0,0,,,
2026-09-08T11:56:39.828,1788848799.8285,49,-12398,1,0,0,,,
2026-09-08T11:56:39.846,1788848799.8465,50,-12044,1,0,0,,,
2026-09-08T11:56:39.891,1788848799.8911,51,-11584,1,0,0,,,
2026-09-08T11:56:39.909,1788848799.9100,52,-11179,1,0,0,,,
2026-09-08T11:56:39.942,1788848799.9422,53,-11206,1,0,0,,,
2026-09-08T11:56:39.974,1788848799.9746,54,-11595,1,0,0,,,
2026-09-08T11:56:40.006,1788848800.0062,55,-12144,1,0,0,,,
2026-09-08T11:56:40.038,1788848800.0382,56,-12348,1,0,0,,,
2026-09-08T11:56:40.069,1788848800.0699,57,-12199,1,0,0,,,
2026-09-08T11:56:40.086,1788848800.0860,58,-11661,1,0,0,,,
2026-09-08T11:56:40.118,1788848800.1180,59,-11337,1,0,0,,,
2026-09-08T11:56:40.149,1788848800.1494,60,-11150,1,0,0,,,
2026-09-08T11:56:40.181,1788848800.1811,61,-11588,1,0,0,,,
2026-09-08T11:56:40.213,1788848800.2131,62,-11978,1,0,0,,,
2026-09-08T11:56:40.244,1788848800.2448,63,-12407,1,0,0,,,
2026-09-08T11:56:40.276,1788848800.2770,64,-12194,1,0,0,,,
2026-09-08T11:56:40.311,1788848800.3110,65,-11868,1,0,0,,,
2026-09-08T11:56:40.337,1788848800.3373,66,-11298,1,0,0,,,
2026-09-08T11:56:40.369,1788848800.3692,67,-11200,1,0,0,,,
2026-09-08T11:56:40.385,1788848800.3855,68,-11347,1,0,0,,,
2026-09-08T11:56:40.416,1788848800.4169,69,-12008,1,0,0,,,
2026-09-08T11:56:40.448,1788848800.4487,70,-12379,1,0,0,,,
2026-09-08T11:56:40.480,1788848800.4803,71,-12400,1,0,0,,,
2026-09-08T11:56:40.512,1788848800.5126,72,-11905,1,0,0,,,
2026-09-08T11:56:40.544,1788848800.5449,73,-11438,1,0,0,,,
2026-09-08T11:56:40.576,1788848800.5763,74,-11135,1,0,0,,,
2026-09-08T11:56:40.608,1788848800.6084,75,-11402,1,0,0,,,
2026-09-08T11:56:40.639,1788848800.6400,76,-11926,1,0,0,,,
2026-09-08T11:56:40.655,1788848800.6559,77,-12381,1,0,0,,,
2026-09-08T11:56:40.688,1788848800.6880,78,-12341,1,0,0,,,
2026-09-08T11:56:40.720,1788848800.7200,79,-12001,1,0,0,,,
2026-09-08T11:56:40.751,1788848800.7515,80,-11504,1,0,0,,,
2026-09-08T11:56:40.784,1788848800.7845,81,-11240,1,0,0,,,
2026-09-08T11:56:40.821,1788848800.8219,82,-11306,1,0,0,,,
2026-09-08T11:56:40.845,1788848800.8460,83,-11782,1,0,0,,,
2026-09-08T11:56:40.877,1788848800.8775,84,-12213,1,0,0,,,
2026-09-08T11:56:40.907,1788848800.9074,85,-12408,1,0,0,,,
2026-09-08T11:56:40.941,1788848800.9418,86,-12079,1,0,0,,,
2026-09-08T11:56:40.973,1788848800.9733,87,-11637,1,0,0,,,
2026-09-08T11:56:40.987,1788848800.9871,88,-11162,1,0,0,,,
2026-09-08T11:56:41.018,1788848801.0189,89,-11249,1,0,0,,,
2026-09-08T11:56:41.050,1788848801.0506,90,-11622,1,0,0,,,
2026-09-08T11:56:41.082,1788848801.0821,91,-12248,1,0,0,,,
2026-09-08T11:56:41.113,1788848801.1136,92,-12375,1,0,0,,,
2026-09-08T11:56:41.145,1788848801.1454,93,-12227,1,0,0,,,
2026-09-08T11:56:41.177,1788848801.1776,94,-11618,1,0,0,,,
2026-09-08T11:56:41.209,1788848801.2093,95,-11338,1,0,0,,,
2026-09-08T11:56:41.227,1788848801.2271,96,-11150,1,0,0,,,
2026-09-08T11:56:41.256,1788848801.2567,97,-11618,1,0,0,,,
2026-09-08T11:56:41.299,1788848801.2995,98,-12020,1,0,0,,,
