iso_time,epoch_seconds,sample_index,q1_raw,q1_valid,q2_raw,q2_valid,q1_baseline,q2_baseline,event
2026-09-08T15:33:24.720,1788861804.7207,1,-692,1,0,0,,,
2026-09-08T15:33:24.730,1788861804.7301,2,-1342,1,0,0,,,
2026-09-08T15:33:24.730,1788861804.7301,3,-1708,1,0,0,,,
2026-09-08T15:33:24.741,1788861804.7418,4,-1682,1,0,0,,,
2026-09-08T15:33:24.748,1788861804.7485,5,-1522,1,0,0,,,
2026-09-08T15:33:24.761,1788861804.7614,6,-1362,1,0,0,,,
2026-09-08T15:33:24.780,1788861804.7803,7,-1237,1,0,0,,,
2026-09-08T15:33:24.780,1788861804.7803,8,-1135,1,0,0,,,
2026-09-08T15:33:24.795,1788861804.7951,9,-1046,1,0,0,,,
2026-09-08T15:33:24.795,1788861804.7951,10,-968,1,0,0,,,
2026-09-08T15:33:24.824,1788861804.8246,11,-923,1,0,0,,,
2026-09-08T15:33:24.824,1788861804.8246,12,-747,1,0,0,,,
2026-09-08T15:33:24.824,1788861804.8246,13,-523,1,0,0,,,
2026-09-08T15:33:24.840,1788861804.8407,14,-384,1,0,0,,,
2026-09-08T15:33:24.852,1788861804.8524,15,-315,1,0,0,,,
2026-09-08T15:33:24.856,1788861804.8565,16,-276,1,0,0,,,
2026-09-08T15:33:24.872,1788861804.8723,17,-244,1,0,0,,,
2026-09-08T15:33:24.887,1788861804.8879,18,-219,1,0,0,,,
2026-09-08T15:33:24.894,1788861804.8942,19,-199,1,0,0,,,
2026-09-08T15:33:24.900,1788861804.9006,20,-185,1,0,0,,,
2026-09-08T15:33:24.911,1788861804.9117,21,-172,1,0,0,,,
2026-09-08T15:33:24.922,1788861804.9222,22,-161,1,0,0,,,
2026-09-08T15:33:24.935,1788861804.9359,23,-149,1,0,0,,,
2026-09-08T15:33:24.935,1788861804.9359,24,-134,1,0,0,,,
2026-09-08T15:33:24.951,1788861804.9516,25,-122,1,0,0,,,
2026-09-08T15:33:24.951,1788861804.9516,26,-112,1,0,0,,,
2026-09-08T15:33:24.971,1788861804.9716,27,-102,1,0,0,,,
2026-09-08T15:33:24.971,1788861804.9716,28,-92,1,0,0,,,
2026-09-08T15:33:24.983,1788861804.9837,29,-87,1,0,0,,,
2026-09-08T15:33:24.999,1788861804.9996,30,-86,1,0,0,,,
2026-09-08T15:33:25.015,1788861805.0153,31,-86,1,0,0,,,
2026-09-08T15:33:25.020,1788861805.0205,32,-89,1,0,0,,,
2026-09-08T15:33:25.033,1788861805.0331,33,-98,1,0,0,,,
2026-09-08T15:33:25.041,1788861805.0419,34,-109,1,0,0,,,
2026-09-08T15:33:25.053,1788861805.0530,35,-119,1,0,0,,,
2026-09-08T15:33:25.062,1788861805.0625,36,-132,1,0,0,,,
2026-09-08T15:33:25.062,1788861805.0625,37,-147,1,0,0,,,
2026-09-08T15:33:25.080,1788861805.0804,38,-161,1,0,0,,,
2026-09-08T15:33:25.089,1788861805.0897,39,-171,1,0,0,,,
2026-09-08T15:33:25.094,1788861805.0943,40,-181,1,0,0,,,
2026-09-08T15:33:25.110,1788861805.1104,41,-189,1,0,0,,,
2026-09-08T15:33:25.127,1788861805.1276,42,-190,1,0,0,,,
2026-09-08T15:33:25.135,1788861805.1355,43,-188,1,0,0,,,
2026-09-08T15:33:25.141,1788861805.1419,44,-187,1,0,0,,,
2026-09-08T15:33:25.157,1788861805.1577,45,-183,1,0,0,,,
2026-09-08T15:33:25.167,1788861805.1678,46,-176,1,0,0,,,
2026-09-08T15:33:25.173,1788861805.1734,47,-169,1,0,0,,,
2026-09-08T15:33:25.182,1788861805.1827,48,-165,1,0,0,,,
2026-09-08T15:33:25.191,1788861805.1910,49,-160,1,0,0,,,
2026-09-08T15:33:25.208,1788861805.2082,50,-156,1,0,0,,,
2026-09-08T15:33:25.212,1788861805.2128,51,-157,1,0,0,,,
2026-09-08T15:33:25.221,1788861805.2216,52,-162,1,0,0,,,
2026-09-08T15:33:25.241,1788861805.2410,53,-166,1,0,0,,,
2026-09-08T15:33:25.247,1788861805.2477,54,-173,1,0,0,,,
2026-09-08T15:33:25.255,1788861805.2554,55,-181,1,0,0,,,
2026-09-08T15:33:25.264,1788861805.2644,56,-188,1,0,0,,,
2026-09-08T15:33:25.271,1788861805.2714,57,-192,1,0,0,,,
2026-09-08T15:33:25.279,1788861805.2798,58,-194,1,0,0,,,
2026-09-08T15:33:25.296,1788861805.2964,59,-196,1,0,0,,,
2026-09-08T15:33:25.304,1788861805.3048,60,-194,1,0,0,,,
2026-09-08T15:33:25.314,1788861805.3142,61,-190,1,0,0,,,
2026-09-08T15:33:25.321,1788861805.3214,62,-185,1,0,0,,,
2026-09-08T15:33:25.336,1788861805.3362,63,-177,1,0,0,,,
2026-09-08T15:33:25.338,1788861805.3380,64,-169,1,0,0,,,
2026-09-08T15:33:25.355,1788861805.3554,65,-162,1,0,0,,,
2026-09-08T15:33:25.362,1788861805.3624,66,-156,1,0,0,,,
2026-09-08T15:33:25.379,1788861805.3800,67,-149,1,0,0,,,
2026-09-08T15:33:25.379,1788861805.3800,68,-145,1,0,0,,,
2026-09-08T15:33:25.388,1788861805.3882,69,-144,1,0,0,,,
2026-09-08T15:33:25.404,1788861805.4046,70,-145,1,0,0,,,
