iso_time,epoch_seconds,sample_index,q1_raw,q1_valid,q2_raw,q2_valid,q1_baseline,q2_baseline,event
2026-09-08T11:16:41.758,1788846401.7588,1,-19076,1,0,0,,,
2026-09-08T11:16:41.786,1788846401.7870,2,-19565,1,0,0,,,
2026-09-08T11:16:41.811,1788846401.8118,3,-19969,1,0,0,,,
2026-09-08T11:16:41.837,1788846401.8378,4,-19974,1,0,0,,,
2026-09-08T11:16:41.875,1788846401.8756,5,-19244,1,0,0,,,
2026-09-08T11:16:41.905,1788846401.9050,6,-18500,1,0,0,,,
2026-09-08T11:16:41.932,1788846401.9326,7,-18517,1,0,0,,,
2026-09-08T11:16:41.965,1788846401.9657,8,-19103,1,0,0,,,
2026-09-08T11:16:41.995,1788846401.9954,9,-19678,1,0,0,,,
2026-09-08T11:16:42.027,1788846402.0273,10,-19854,1,0,0,,,
2026-09-08T11:16:42.060,1788846402.0606,11,-19795,1,0,0,,,
2026-09-08T11:16:42.089,1788846402.0899,12,-19285,1,0,0,,,
2026-09-08T11:16:42.105,1788846402.1059,13,-18484,1,0,0,,,
2026-09-08T11:16:42.137,1788846402.1375,14,-18546,1,0,0,,,
2026-09-08T11:16:42.179,1788846402.1794,15,-19209,1,0,0,,,
2026-09-08T11:16:42.208,1788846402.2083,16,-19567,1,0,0,,,
2026-09-08T11:16:42.250,1788846402.2501,17,-19745,1,0,0,,,
2026-09-08T11:16:42.269,1788846402.2694,18,-19903,1,0,0,,,
2026-09-08T11:16:42.294,1788846402.2948,19,-19310,1,0,0,,,
2026-09-08T11:16:42.325,1788846402.3256,20,-18621,1,0,0,,,
2026-09-08T11:16:42.354,1788846402.3546,21,-18744,1,0,0,,,
2026-09-08T11:16:42.383,1788846402.3832,22,-19013,1,0,0,,,
2026-09-08T11:16:42.411,1788846402.4117,23,-19311,1,0,0,,,
2026-09-08T11:16:42.443,1788846402.4432,24,-19551,1,0,0,,,
2026-09-08T11:16:42.478,1788846402.4787,25,-19735,1,0,0,,,
2026-09-08T11:16:42.506,1788846402.5069,26,-19239,1,0,0,,,
2026-09-08T11:16:42.536,1788846402.5361,27,-18358,1,0,0,,,
2026-09-08T11:16:42.570,1788846402.5705,28,-18251,1,0,0,,,
2026-09-08T11:16:42.594,1788846402.5948,29,-18703,1,0,0,,,
2026-09-08T11:16:42.625,1788846402.6251,30,-19208,1,0,0,,,
2026-09-08T11:16:42.657,1788846402.6580,31,-19768,1,0,0,,,
2026-09-08T11:16:42.691,1788846402.6911,32,-19980,1,0,0,,,
2026-09-08T11:16:42.712,1788846402.7123,33,-19146,1,0,0,,,
2026-09-08T11:16:42.753,1788846402.7538,34,-18392,1,0,0,,,
2026-09-08T11:16:42.771,1788846402.7719,35,-18376,1,0,0,,,
