iso_time,epoch_seconds,sample_index,q1_raw,q1_valid,q2_raw,q2_valid,q1_baseline,q2_baseline,event
2026-09-08T17:00:20.333,1788867020.3335,1,5,1,0,0,,,
2026-09-08T17:00:20.333,1788867020.3335,2,8,1,0,0,,,
2026-09-08T17:00:20.354,1788867020.3546,3,11,1,0,0,,,
2026-09-08T17:00:20.360,1788867020.3608,4,12,1,0,0,,,
2026-09-08T17:00:20.376,1788867020.3761,5,14,1,0,0,,,
2026-09-08T17:00:20.388,1788867020.3883,6,15,1,0,0,,,
2026-09-08T17:00:20.392,1788867020.3923,7,16,1,0,0,,,
2026-09-08T17:00:20.408,1788867020.4081,8,17,1,0,0,,,
2026-09-08T17:00:20.409,1788867020.4096,9,19,1,0,0,,,
2026-09-08T17:00:20.423,1788867020.4239,10,21,1,0,0,,,
2026-09-08T17:00:20.423,1788867020.4239,11,23,1,0,0,,,
2026-09-08T17:00:20.444,1788867020.4447,12,27,1,0,0,,,
2026-09-08T17:00:20.455,1788867020.4557,13,31,1,0,0,,,
2026-09-08T17:00:20.455,1788867020.4557,14,36,1,0,0,,,
2026-09-08T17:00:20.475,1788867020.4751,15,40,1,0,0,,,
2026-09-08T17:00:20.485,1788867020.4850,16,44,1,0,0,,,
2026-09-08T17:00:20.487,1788867020.4873,17,47,1,0,0,,,
2026-09-08T17:00:20.503,1788867020.5031,18,50,1,0,0,,,
2026-09-08T17:00:20.519,1788867020.5192,19,50,1,0,0,,,
2026-09-08T17:00:20.519,1788867020.5192,20,49,1,0,0,,,
2026-09-08T17:00:20.535,1788867020.5351,21,48,1,0,0,,,
2026-09-08T17:00:20.535,1788867020.5351,22,47,1,0,0,,,
2026-09-08T17:00:20.550,1788867020.5509,23,45,1,0,0,,,
2026-09-08T17:00:20.567,1788867020.5676,24,42,1,0,0,,,
2026-09-08T17:00:20.567,1788867020.5676,25,39,1,0,0,,,
2026-09-08T17:00:20.582,1788867020.5829,26,36,1,0,0,,,
2026-09-08T17:00:20.598,1788867020.5990,27,32,1,0,0,,,
2026-09-08T17:00:20.598,1788867020.5990,28,29,1,0,0,,,
2026-09-08T17:00:20.616,1788867020.6168,29,27,1,0,0,,,
2026-09-08T17:00:20.617,1788867020.6173,30,26,1,0,0,,,
2026-09-08T17:00:20.630,1788867020.6305,31,25,1,0,0,,,
2026-09-08T17:00:20.646,1788867020.6463,32,25,1,0,0,,,
2026-09-08T17:00:20.646,1788867020.6463,33,26,1,0,0,,,
2026-09-08T17:00:20.662,1788867020.6623,34,27,1,0,0,,,
2026-09-08T17:00:20.678,1788867020.6781,35,28,1,0,0,,,
2026-09-08T17:00:20.678,1788867020.6781,36,30,1,0,0,,,
