iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-11T11:42:47.605,1789107167.6054,1,553,7.09,398,5.1
2026-09-11T11:42:47.606,1789107167.6064,2,698,8.95,398,5.1
2026-09-11T11:42:47.610,1789107167.6104,3,872,11.18,319,4.09
2026-09-11T11:42:47.616,1789107167.6164,4,824,10.56,319,4.09
2026-09-11T11:42:47.619,1789107167.6194,5,483,6.19,389,4.99
2026-09-11T11:42:47.643,1789107167.6437,6,601,7.71,389,4.99
2026-09-11T11:42:47.646,1789107167.6467,7,782,10.03,341,4.37
2026-09-11T11:42:47.652,1789107167.6527,8,707,9.06,299,3.83
2026-09-11T11:42:47.654,1789107167.6547,9,355,4.55,427,5.47
2026-09-11T11:42:47.655,1789107167.6557,10,513,6.58,427,5.47
2026-09-11T11:42:47.666,1789107167.6662,11,683,8.76,352,4.51
2026-09-11T11:42:47.668,1789107167.6687,12,553,7.09,328,4.21
2026-09-11T11:42:47.672,1789107167.6727,13,331,4.24,352,4.51
2026-09-11T11:42:47.674,1789107167.6747,14,408,5.23,352,4.51
2026-09-11T11:42:47.675,1789107167.6757,15,591,7.58,260,3.33
2026-09-11T11:42:47.679,1789107167.6794,16,464,5.95,260,3.33
2026-09-11T11:42:47.680,1789107167.6804,17,215,2.76,376,4.82
2026-09-11T11:42:47.689,1789107167.6896,18,337,4.32,376,4.82
2026-09-11T11:42:47.691,1789107167.6917,19,504,6.46,289,3.71
2026-09-11T11:42:47.694,1789107167.6947,20,366,4.69,289,3.71
2026-09-11T11:42:47.705,1789107167.7054,21,128,1.64,376,4.82
2026-09-11T11:42:47.705,1789107167.7054,22,160,2.05,376,4.82
2026-09-11T11:42:47.710,1789107167.7104,23,470,6.03,342,4.38
2026-09-11T11:42:47.714,1789107167.7144,24,312,4.0,342,4.38
2026-09-11T11:42:47.720,1789107167.7204,25,87,1.12,383,4.91
2026-09-11T11:42:47.724,1789107167.7250,26,142,1.82,383,4.91
2026-09-11T11:42:47.728,1789107167.7289,27,409,5.24,322,4.13
2026-09-11T11:42:47.741,1789107167.7411,28,247,3.17,322,4.13
2026-09-11T11:42:47.746,1789107167.7463,29,22,0.28,387,4.96
2026-09-11T11:42:47.748,1789107167.7483,30,106,1.36,387,4.96
2026-09-11T11:42:47.758,1789107167.7584,31,353,4.53,331,4.24
2026-09-11T11:42:47.763,1789107167.7634,32,163,2.09,331,4.24
2026-09-11T11:42:47.766,1789107167.7664,33,-41,-0.53,394,5.05
2026-09-11T11:42:47.769,1789107167.7694,34,51,0.65,394,5.05
2026-09-11T11:42:47.776,1789107167.7768,35,227,2.91,268,3.44
2026-09-11T11:42:47.778,1789107167.7788,36,65,0.83,268,3.44
2026-09-11T11:42:47.782,1789107167.7829,37,-140,-1.79,367,4.71
2026-09-11T11:42:47.788,1789107167.7889,38,-15,-0.19,367,4.71
2026-09-11T11:42:47.790,1789107167.7909,39,161,2.06,301,3.86
2026-09-11T11:42:47.798,1789107167.7981,40,-52,-0.67,301,3.86
2026-09-11T11:42:47.807,1789107167.8077,41,-240,-3.08,401,5.14
2026-09-11T11:42:47.811,1789107167.8118,42,-103,-1.32,401,5.14
2026-09-11T11:42:47.813,1789107167.8138,43,57,0.73,297,3.81
2026-09-11T11:42:47.819,1789107167.8198,44,25,0.32,297,3.81
2026-09-11T11:42:47.824,1789107167.8249,45,-362,-4.64,419,5.37
2026-09-11T11:42:47.826,1789107167.8269,46,-221,-2.83,419,5.37
2026-09-11T11:42:47.832,1789107167.8320,47,-60,-0.77,387,4.96
2026-09-11T11:42:47.836,1789107167.8369,48,-144,-1.85,302,3.87
2026-09-11T11:42:47.840,1789107167.8408,49,-466,-5.97,406,5.21
2026-09-11T11:42:47.843,1789107167.8430,50,-312,-4.0,406,5.21
2026-09-11T11:42:47.854,1789107167.8543,51,-123,-1.58,343,4.4
2026-09-11T11:42:47.855,1789107167.8553,52,-230,-2.95,343,4.4
2026-09-11T11:42:47.860,1789107167.8603,53,-505,-6.47,382,4.9
2026-09-11T11:42:47.864,1789107167.8643,54,-401,-5.14,382,4.9
2026-09-11T11:42:47.875,1789107167.8754,55,-224,-2.87,281,3.6
2026-09-11T11:42:47.881,1789107167.8814,56,-351,-4.5,281,3.6
2026-09-11T11:42:47.882,1789107167.8826,57,-589,-7.55,365,4.68
2026-09-11T11:42:47.890,1789107167.8906,58,-393,-5.04,365,4.68
2026-09-11T11:42:47.894,1789107167.8948,59,-195,-2.5,394,5.05
2026-09-11T11:42:47.899,1789107167.8998,60,-326,-4.18,394,5.05
2026-09-11T11:42:47.905,1789107167.9050,61,-561,-7.19,366,4.69
2026-09-11T11:42:47.909,1789107167.9091,62,-511,-6.55,366,4.69
2026-09-11T11:42:47.912,1789107167.9120,63,-152,-1.95,409,5.24
2026-09-11T11:42:47.916,1789107167.9160,64,-299,-3.83,409,5.24
2026-09-11T11:42:47.920,1789107167.9201,65,-518,-6.64,366,4.69
2026-09-11T11:42:47.927,1789107167.9272,66,-436,-5.59,366,4.69
2026-09-11T11:42:47.929,1789107167.9292,67,-109,-1.4,409,5.24
2026-09-11T11:42:47.938,1789107167.9383,68,-265,-3.4,409,5.24
2026-09-11T11:42:47.942,1789107167.9425,69,-480,-6.15,371,4.76
2026-09-11T11:42:47.947,1789107167.9475,70,-346,-4.44,371,4.76
