iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-11T14:31:42.324,1789117302.3245,1,-778,-9.97,0,0.0
2026-09-11T14:31:42.324,1789117302.3245,2,-811,-10.4,33,0.42
2026-09-11T14:31:42.324,1789117302.3245,3,-308,-3.95,503,6.45
2026-09-11T14:31:42.339,1789117302.3396,4,178,2.28,989,12.68
2026-09-11T14:31:42.340,1789117302.3409,5,-63,-0.81,989,12.68
2026-09-11T14:31:42.340,1789117302.3409,6,-589,-7.55,767,9.83
2026-09-11T14:31:42.340,1789117302.3409,7,-62,-0.79,767,9.83
2026-09-11T14:31:42.358,1789117302.3582,8,310,3.97,899,11.53
2026-09-11T14:31:42.361,1789117302.3619,9,13,0.17,899,11.53
2026-09-11T14:31:42.361,1789117302.3619,10,-519,-6.65,829,10.63
2026-09-11T14:31:42.361,1789117302.3619,11,81,1.04,829,10.63
2026-09-11T14:31:42.374,1789117302.3747,12,372,4.77,891,11.42
2026-09-11T14:31:42.378,1789117302.3787,13,23,0.29,891,11.42
2026-09-11T14:31:42.378,1789117302.3787,14,-473,-6.06,845,10.83
2026-09-11T14:31:42.388,1789117302.3888,15,182,2.33,845,10.83
2026-09-11T14:31:42.391,1789117302.3911,16,405,5.19,878,11.26
2026-09-11T14:31:42.391,1789117302.3911,17,8,0.1,878,11.26
2026-09-11T14:31:42.391,1789117302.3911,18,-456,-5.85,861,11.04
2026-09-11T14:31:42.411,1789117302.4113,19,275,3.53,861,11.04
2026-09-11T14:31:42.424,1789117302.4243,20,397,5.09,853,10.94
2026-09-11T14:31:42.424,1789117302.4243,21,-56,-0.72,853,10.94
2026-09-11T14:31:42.424,1789117302.4243,22,-436,-5.59,833,10.68
2026-09-11T14:31:42.424,1789117302.4243,23,-218,-2.79,833,10.68
2026-09-11T14:31:42.441,1789117302.4412,24,393,5.04,829,10.63
2026-09-11T14:31:42.441,1789117302.4412,25,-96,-1.23,829,10.63
2026-09-11T14:31:42.459,1789117302.4596,26,-432,-5.54,825,10.58
2026-09-11T14:31:42.463,1789117302.4636,27,-174,-2.23,825,10.58
2026-09-11T14:31:42.468,1789117302.4686,28,373,4.78,805,10.32
2026-09-11T14:31:42.470,1789117302.4705,29,-140,-1.79,805,10.32
2026-09-11T14:31:42.474,1789117302.4749,30,-392,-5.03,765,9.81
2026-09-11T14:31:42.477,1789117302.4770,31,-118,-1.51,765,9.81
2026-09-11T14:31:42.479,1789117302.4790,32,382,4.9,774,9.92
2026-09-11T14:31:42.481,1789117302.4810,33,-193,-2.47,774,9.92
2026-09-11T14:31:42.482,1789117302.4820,34,-372,-4.77,754,9.67
2026-09-11T14:31:42.489,1789117302.4895,35,-58,-0.74,754,9.67
