iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-11T11:41:40.968,1789107100.9683,1,-280,-3.59,369,4.73
2026-09-11T11:41:40.979,1789107100.9793,2,-519,-6.65,403,5.17
2026-09-11T11:41:40.980,1789107100.9803,3,-428,-5.49,403,5.17
2026-09-11T11:41:40.985,1789107100.9855,4,-231,-2.96,288,3.69
2026-09-11T11:41:40.992,1789107100.9928,5,-273,-3.5,288,3.69
2026-09-11T11:41:40.994,1789107100.9948,6,-484,-6.21,253,3.24
2026-09-11T11:41:40.998,1789107100.9987,7,-351,-4.5,253,3.24
2026-09-11T11:41:41.025,1789107101.0259,8,-169,-2.17,315,4.04
2026-09-11T11:41:41.027,1789107101.0279,9,-220,-2.82,315,4.04
2026-09-11T11:41:41.029,1789107101.0300,10,-411,-5.27,242,3.1
2026-09-11T11:41:41.031,1789107101.0320,11,-234,-3.0,242,3.1
2026-09-11T11:41:41.038,1789107101.0390,12,-21,-0.27,390,5.0
2026-09-11T11:41:41.046,1789107101.0470,13,55,0.71,466,5.97
2026-09-11T11:41:41.048,1789107101.0490,14,-265,-3.4,320,4.1
2026-09-11T11:41:41.052,1789107101.0530,15,-80,-1.03,320,4.1
2026-09-11T11:41:41.056,1789107101.0570,16,137,1.76,402,5.15
2026-09-11T11:41:41.058,1789107101.0590,17,176,2.26,441,5.65
2026-09-11T11:41:41.060,1789107101.0610,18,-148,-1.9,324,4.15
2026-09-11T11:41:41.061,1789107101.0620,19,24,0.31,324,4.15
2026-09-11T11:41:41.065,1789107101.0651,20,264,3.38,412,5.28
2026-09-11T11:41:41.070,1789107101.0701,21,239,3.06,412,5.28
2026-09-11T11:41:41.080,1789107101.0803,22,38,0.49,240,3.08
2026-09-11T11:41:41.081,1789107101.0813,23,114,1.46,226,2.9
2026-09-11T11:41:41.084,1789107101.0849,24,318,4.08,280,3.59
2026-09-11T11:41:41.088,1789107101.0881,25,257,3.29,280,3.59
2026-09-11T11:41:41.093,1789107101.0938,26,64,0.82,254,3.26
2026-09-11T11:41:41.097,1789107101.0974,27,143,1.83,254,3.26
2026-09-11T11:41:41.103,1789107101.1034,28,327,4.19,263,3.37
2026-09-11T11:41:41.109,1789107101.1094,29,218,2.79,263,3.37
2026-09-11T11:41:41.112,1789107101.1126,30,-31,-0.4,358,4.59
2026-09-11T11:41:41.119,1789107101.1196,31,-87,-1.12,414,5.31
2026-09-11T11:41:41.133,1789107101.1332,32,249,3.19,336,4.31
2026-09-11T11:41:41.136,1789107101.1362,33,104,1.33,336,4.31
2026-09-11T11:41:41.141,1789107101.1418,34,-180,-2.31,429,5.5
2026-09-11T11:41:41.142,1789107101.1428,35,-216,-2.77,465,5.96
2026-09-11T11:41:41.145,1789107101.1458,36,57,0.73,320,4.1
2026-09-11T11:41:41.151,1789107101.1520,37,-151,-1.94,273,3.5
2026-09-11T11:41:41.157,1789107101.1580,38,-450,-5.77,507,6.5
2026-09-11T11:41:41.159,1789107101.1600,39,-468,-6.0,525,6.73
2026-09-11T11:41:41.165,1789107101.1652,40,-269,-3.45,317,4.06
2026-09-11T11:41:41.169,1789107101.1692,41,-480,-6.15,211,2.71
2026-09-11T11:41:41.180,1789107101.1809,42,-758,-9.72,489,6.27
2026-09-11T11:41:41.182,1789107101.1829,43,-727,-9.32,489,6.27
2026-09-11T11:41:41.185,1789107101.1859,44,-616,-7.9,278,3.56
2026-09-11T11:41:41.193,1789107101.1939,45,-740,-9.49,142,1.82
2026-09-11T11:41:41.195,1789107101.1959,46,-989,-12.68,373,4.78
2026-09-11T11:41:41.198,1789107101.1989,47,-901,-11.55,373,4.78
