iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-09T17:01:09.731,1788953469.7312,1,1927,24.71,2325,29.81
2026-09-09T17:01:09.734,1788953469.7342,2,55,0.71,2831,36.29
2026-09-09T17:01:09.740,1788953469.7402,3,1361,17.45,2831,36.29
2026-09-09T17:01:09.743,1788953469.7437,4,2659,34.09,2604,33.38
2026-09-09T17:01:09.768,1788953469.7682,5,1537,19.71,2604,33.38
2026-09-09T17:01:09.768,1788953469.7682,6,-369,-4.73,3028,38.82
2026-09-09T17:01:09.768,1788953469.7682,7,-479,-6.14,3138,40.23
2026-09-09T17:01:09.774,1788953469.7746,8,2444,31.33,2923,37.47
2026-09-09T17:01:09.776,1788953469.7765,9,1215,15.58,2923,37.47
2026-09-09T17:01:09.776,1788953469.7765,10,-642,-8.23,3086,39.56
2026-09-09T17:01:09.784,1788953469.7843,11,-471,-6.04,3086,39.56
2026-09-09T17:01:09.792,1788953469.7924,12,2252,28.87,2894,37.1
2026-09-09T17:01:09.795,1788953469.7951,13,951,12.19,2894,37.1
2026-09-09T17:01:09.797,1788953469.7973,14,-896,-11.49,3148,40.36
2026-09-09T17:01:09.800,1788953469.8006,15,-449,-5.76,3148,40.36
2026-09-09T17:01:09.807,1788953469.8076,16,1697,21.76,2593,33.24
2026-09-09T17:01:09.809,1788953469.8093,17,631,8.09,2593,33.24
2026-09-09T17:01:09.817,1788953469.8179,18,-1148,-14.72,2845,36.47
2026-09-09T17:01:09.817,1788953469.8179,19,-455,-5.83,2845,36.47
2026-09-09T17:01:09.826,1788953469.8261,20,1678,21.51,2826,36.23
2026-09-09T17:01:09.826,1788953469.8261,21,229,2.94,2826,36.23
2026-09-09T17:01:09.834,1788953469.8345,22,-1396,-17.9,3074,39.41
2026-09-09T17:01:09.841,1788953469.8413,23,-462,-5.92,3074,39.41
2026-09-09T17:01:09.842,1788953469.8424,24,1568,20.1,2964,38.0
2026-09-09T17:01:09.850,1788953469.8507,25,1322,16.95,2964,38.0
2026-09-09T17:01:09.851,1788953469.8514,26,-1607,-20.6,3175,40.71
2026-09-09T17:01:09.860,1788953469.8603,27,-432,-5.54,3175,40.71
2026-09-09T17:01:09.864,1788953469.8643,28,1561,20.01,3168,40.62
2026-09-09T17:01:09.865,1788953469.8651,29,1095,14.04,3168,40.62
2026-09-09T17:01:09.879,1788953469.8797,30,-1719,-22.04,3280,42.05
2026-09-09T17:01:09.884,1788953469.8844,31,-280,-3.59,3280,42.05
2026-09-09T17:01:09.888,1788953469.8888,32,1597,20.47,3316,42.51
2026-09-09T17:01:09.892,1788953469.8930,33,903,11.58,3316,42.51
2026-09-09T17:01:09.895,1788953469.8951,34,-1773,-22.73,3370,43.21
2026-09-09T17:01:09.901,1788953469.9013,35,-130,-1.67,3370,43.21
2026-09-09T17:01:09.901,1788953469.9013,36,1550,19.87,3323,42.6
2026-09-09T17:01:09.909,1788953469.9098,37,572,7.33,3323,42.6
2026-09-09T17:01:09.917,1788953469.9172,38,-1278,-16.38,2828,36.26
2026-09-09T17:01:09.922,1788953469.9224,39,130,1.67,2828,36.26
2026-09-09T17:01:09.928,1788953469.9281,40,1529,19.6,2807,35.99
2026-09-09T17:01:09.928,1788953469.9281,41,359,4.6,2807,35.99
2026-09-09T17:01:09.934,1788953469.9342,42,-1550,-19.87,3079,39.47
2026-09-09T17:01:09.934,1788953469.9342,43,399,5.12,3079,39.47
2026-09-09T17:01:09.947,1788953469.9473,44,1473,18.88,3023,38.76
2026-09-09T17:01:09.950,1788953469.9509,45,179,2.29,3023,38.76
2026-09-09T17:01:09.950,1788953469.9509,46,-1705,-21.86,3178,40.74
2026-09-09T17:01:09.958,1788953469.9587,47,-1535,-19.68,3178,40.74
2026-09-09T17:01:09.967,1788953469.9676,48,1417,18.17,3122,40.03
2026-09-09T17:01:09.967,1788953469.9676,49,31,0.4,3122,40.03
2026-09-09T17:01:09.976,1788953469.9763,50,-1837,-23.55,3254,41.72
2026-09-09T17:01:09.983,1788953469.9837,51,-1334,-17.1,3254,41.72
2026-09-09T17:01:09.983,1788953469.9837,52,1268,16.26,3105,39.81
2026-09-09T17:01:09.983,1788953469.9837,53,-141,-1.81,3105,39.81
2026-09-09T17:01:09.995,1788953469.9952,54,-1941,-24.88,3209,41.14
2026-09-09T17:01:10.000,1788953470.0009,55,-1169,-14.99,3209,41.14
2026-09-09T17:01:10.007,1788953470.0077,56,1100,14.1,3041,38.99
2026-09-09T17:01:10.009,1788953470.0092,57,-337,-4.32,3041,38.99
2026-09-09T17:01:10.010,1788953470.0100,58,-1940,-24.87,3040,38.97
