iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv
2026-09-09T11:59:39.482,1788935379.4824,1,3616,46.36
2026-09-09T11:59:39.492,1788935379.4930,2,-56,-0.72
2026-09-09T11:59:39.521,1788935379.5210,3,3956,50.72
2026-09-09T11:59:39.521,1788935379.5210,4,-680,-8.72
2026-09-09T11:59:39.521,1788935379.5210,5,-380,-4.87
2026-09-09T11:59:39.536,1788935379.5369,6,-1396,-17.9
2026-09-09T11:59:39.536,1788935379.5369,7,-40,-0.51
2026-09-09T11:59:39.553,1788935379.5530,8,-2100,-26.92
2026-09-09T11:59:39.559,1788935379.5591,9,336,4.31
2026-09-09T11:59:39.569,1788935379.5694,10,-2704,-34.67
2026-09-09T11:59:39.569,1788935379.5694,11,756,9.69
2026-09-09T11:59:39.584,1788935379.5846,12,-3124,-40.05
2026-09-09T11:59:39.600,1788935379.6002,13,1332,17.08
2026-09-09T11:59:39.615,1788935379.6160,14,1520,19.49
2026-09-09T11:59:39.623,1788935379.6240,15,2024,25.95
2026-09-09T11:59:39.632,1788935379.6321,16,1164,14.92
2026-09-09T11:59:39.632,1788935379.6321,17,2712,34.77
2026-09-09T11:59:39.650,1788935379.6500,18,816,10.46
2026-09-09T11:59:39.664,1788935379.6641,19,3372,43.23
2026-09-09T11:59:39.664,1788935379.6641,20,412,5.28
2026-09-09T11:59:39.682,1788935379.6821,21,3852,49.38
2026-09-09T11:59:39.706,1788935379.7063,22,-96,-1.23
2026-09-09T11:59:39.706,1788935379.7068,23,4212,54.0
2026-09-09T11:59:39.714,1788935379.7148,24,-732,-9.38
2026-09-09T11:59:39.721,1788935379.7216,25,-300,-3.85
2026-09-09T11:59:39.728,1788935379.7284,26,-1492,-19.13
2026-09-09T11:59:39.742,1788935379.7425,27,52,0.67
2026-09-09T11:59:39.749,1788935379.7500,28,-2224,-28.51
2026-09-09T11:59:39.758,1788935379.7583,29,384,4.92
2026-09-09T11:59:39.774,1788935379.7741,30,-2864,-36.72
2026-09-09T11:59:39.774,1788935379.7741,31,800,10.26
2026-09-09T11:59:39.789,1788935379.7900,32,-3304,-42.36
2026-09-09T11:59:39.789,1788935379.7900,33,1364,17.49
2026-09-09T11:59:39.821,1788935379.8219,34,1444,18.51
2026-09-09T11:59:39.823,1788935379.8239,35,2016,25.85
2026-09-09T11:59:39.823,1788935379.8239,36,1044,13.38
2026-09-09T11:59:39.837,1788935379.8377,37,2708,34.72
2026-09-09T11:59:39.853,1788935379.8536,38,648,8.31
2026-09-09T11:59:39.853,1788935379.8536,39,3332,42.72
2026-09-09T11:59:39.869,1788935379.8697,40,216,2.77
2026-09-09T11:59:39.885,1788935379.8856,41,3768,48.31
2026-09-09T11:59:39.885,1788935379.8856,42,-340,-4.36
2026-09-09T11:59:39.901,1788935379.9012,43,4056,52.0
2026-09-09T11:59:39.919,1788935379.9195,44,-1112,-14.26
2026-09-09T11:59:39.919,1788935379.9195,45,-516,-6.62
2026-09-09T11:59:39.936,1788935379.9365,46,-1932,-24.77
2026-09-09T11:59:39.947,1788935379.9470,47,-204,-2.62
2026-09-09T11:59:39.955,1788935379.9556,48,-2692,-34.51
2026-09-09T11:59:39.965,1788935379.9656,49,104,1.33
2026-09-09T11:59:39.975,1788935379.9751,50,-3348,-42.92
2026-09-09T11:59:39.979,1788935379.9791,51,500,6.41
2026-09-09T11:59:39.994,1788935379.9949,52,-3796,-48.67
2026-09-09T11:59:40.001,1788935380.0016,53,1044,13.38
2026-09-09T11:59:40.010,1788935380.0109,54,916,11.74
2026-09-09T11:59:40.026,1788935380.0265,55,1724,22.1
