iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv
2026-09-09T11:29:21.927,1788933561.9277,1,3124,40.05
2026-09-09T11:29:21.937,1788933561.9378,2,-1668,-21.38
2026-09-09T11:29:21.953,1788933561.9534,3,2684,34.41
2026-09-09T11:29:21.953,1788933561.9534,4,-1012,-12.97
2026-09-09T11:29:21.969,1788933561.9693,5,2212,28.36
2026-09-09T11:29:21.969,1788933561.9693,6,-292,-3.74
2026-09-09T11:29:21.985,1788933561.9851,7,1656,21.23
2026-09-09T11:29:21.985,1788933561.9851,8,628,8.05
2026-09-09T11:29:22.001,1788933562.0010,9,1192,15.28
2026-09-09T11:29:22.001,1788933562.0010,10,1588,20.36
2026-09-09T11:29:22.023,1788933562.0235,11,740,9.49
2026-09-09T11:29:22.034,1788933562.0346,12,-3400,-43.59
2026-09-09T11:29:22.048,1788933562.0483,13,304,3.9
2026-09-09T11:29:22.064,1788933562.0640,14,-3064,-39.28
2026-09-09T11:29:22.064,1788933562.0640,15,-212,-2.72
2026-09-09T11:29:22.064,1788933562.0640,16,-2788,-35.74
2026-09-09T11:29:22.085,1788933562.0860,17,-864,-11.08
2026-09-09T11:29:22.099,1788933562.0998,18,-2500,-32.05
2026-09-09T11:29:22.099,1788933562.0998,19,-1736,-22.26
2026-09-09T11:29:22.111,1788933562.1118,20,-2160,-27.69
2026-09-09T11:29:22.111,1788933562.1118,21,3356,43.03
2026-09-09T11:29:22.142,1788933562.1424,22,-1736,-22.26
2026-09-09T11:29:22.154,1788933562.1549,23,3004,38.51
2026-09-09T11:29:22.161,1788933562.1614,24,-1260,-16.15
2026-09-09T11:29:22.167,1788933562.1674,25,2640,33.85
2026-09-09T11:29:22.179,1788933562.1795,26,-632,-8.1
2026-09-09T11:29:22.189,1788933562.1891,27,2292,29.38
2026-09-09T11:29:22.189,1788933562.1891,28,196,2.51
2026-09-09T11:29:22.208,1788933562.2081,29,1884,24.15
2026-09-09T11:29:22.212,1788933562.2127,30,1172,15.03
2026-09-09T11:29:22.223,1788933562.2231,31,1464,18.77
2026-09-09T11:29:22.236,1788933562.2368,32,-4040,-51.79
2026-09-09T11:29:22.236,1788933562.2368,33,996,12.77
2026-09-09T11:29:22.252,1788933562.2526,34,-3660,-46.92
2026-09-09T11:29:22.263,1788933562.2631,35,492,6.31
2026-09-09T11:29:22.284,1788933562.2844,36,-3240,-41.54
2026-09-09T11:29:22.284,1788933562.2844,37,-196,-2.51
2026-09-09T11:29:22.300,1788933562.3001,38,-2812,-36.05
2026-09-09T11:29:22.304,1788933562.3043,39,-1116,-14.31
2026-09-09T11:29:22.317,1788933562.3175,40,-2332,-29.9
2026-09-09T11:29:22.324,1788933562.3244,41,3940,50.51
2026-09-09T11:29:22.337,1788933562.3378,42,-1860,-23.85
2026-09-09T11:29:22.349,1788933562.3499,43,3564,45.69
2026-09-09T11:29:22.349,1788933562.3499,44,-1352,-17.33
2026-09-09T11:29:22.364,1788933562.3640,45,3152,40.41
2026-09-09T11:29:22.364,1788933562.3640,46,-828,-10.62
2026-09-09T11:29:22.397,1788933562.3974,47,2748,35.23
2026-09-09T11:29:22.405,1788933562.4057,48,-48,-0.62
2026-09-09T11:29:22.411,1788933562.4111,49,2356,30.21
2026-09-09T11:29:22.422,1788933562.4227,50,904,11.59
2026-09-09T11:29:22.431,1788933562.4312,51,1908,24.46
2026-09-09T11:29:22.437,1788933562.4373,52,-4184,-53.64
2026-09-09T11:29:22.444,1788933562.4448,53,1408,18.05
2026-09-09T11:29:22.453,1788933562.4532,54,-3712,-47.59
2026-09-09T11:29:22.469,1788933562.4695,55,940,12.05
2026-09-09T11:29:22.478,1788933562.4783,56,-3292,-42.21
2026-09-09T11:29:22.487,1788933562.4874,57,296,3.79
2026-09-09T11:29:22.497,1788933562.4973,58,-2848,-36.51
2026-09-09T11:29:22.513,1788933562.5133,59,-484,-6.21
2026-09-09T11:29:22.520,1788933562.5201,60,-2412,-30.92
2026-09-09T11:29:22.531,1788933562.5317,61,4184,53.64
2026-09-09T11:29:22.540,1788933562.5403,62,-1944,-24.92
2026-09-09T11:29:22.551,1788933562.5512,63,3816,48.92
2026-09-09T11:29:22.557,1788933562.5576,64,-1460,-18.72
2026-09-09T11:29:22.563,1788933562.5633,65,3420,43.85
2026-09-09T11:29:22.578,1788933562.5785,66,-988,-12.67
2026-09-09T11:29:22.589,1788933562.5898,67,3012,38.62
2026-09-09T11:29:22.589,1788933562.5898,68,-348,-4.46
2026-09-09T11:29:22.602,1788933562.6021,69,2596,33.28
2026-09-09T11:29:22.622,1788933562.6221,70,496,6.36
2026-09-09T11:29:22.626,1788933562.6261,71,2172,27.85
2026-09-09T11:29:22.633,1788933562.6338,72,-4300,-55.13
2026-09-09T11:29:22.651,1788933562.6517,73,1696,21.74
2026-09-09T11:29:22.653,1788933562.6536,74,-3864,-49.54
2026-09-09T11:29:22.665,1788933562.6657,75,1184,15.18
2026-09-09T11:29:22.676,1788933562.6762,76,-3428,-43.95
2026-09-09T11:29:22.687,1788933562.6872,77,656,8.41
2026-09-09T11:29:22.697,1788933562.6972,78,-3000,-38.46
2026-09-09T11:29:22.697,1788933562.6972,79,-44,-0.56
2026-09-09T11:29:22.729,1788933562.7297,80,-2564,-32.87
2026-09-09T11:29:22.731,1788933562.7315,81,4316,55.33
2026-09-09T11:29:22.731,1788933562.7315,82,-2068,-26.51
2026-09-09T11:29:22.745,1788933562.7451,83,3876,49.69
2026-09-09T11:29:22.762,1788933562.7628,84,-1624,-20.82
2026-09-09T11:29:22.762,1788933562.7628,85,3428,43.95
2026-09-09T11:29:22.776,1788933562.7762,86,-1048,-13.44
2026-09-09T11:29:22.787,1788933562.7870,87,2864,36.72
2026-09-09T11:29:22.795,1788933562.7951,88,-452,-5.79
2026-09-09T11:29:22.811,1788933562.8118,89,2364,30.31
2026-09-09T11:29:22.811,1788933562.8118,90,244,3.13
2026-09-09T11:29:22.831,1788933562.8315,91,1884,24.15
2026-09-09T11:29:22.839,1788933562.8396,92,-3860,-49.49
2026-09-09T11:29:22.849,1788933562.8490,93,1480,18.97
2026-09-09T11:29:22.858,1788933562.8583,94,-3408,-43.69
2026-09-09T11:29:22.869,1788933562.8700,95,996,12.77
2026-09-09T11:29:22.871,1788933562.8715,96,-2972,-38.1
2026-09-09T11:29:22.887,1788933562.8872,97,552,7.08
2026-09-09T11:29:22.887,1788933562.8872,98,-2608,-33.44
2026-09-09T11:29:22.910,1788933562.9109,99,-16,-0.21
2026-09-09T11:29:22.922,1788933562.9226,100,-2216,-28.41
2026-09-09T11:29:22.928,1788933562.9283,101,3708,47.54
2026-09-09T11:29:22.936,1788933562.9364,102,-1836,-23.54
2026-09-09T11:29:22.953,1788933562.9535,103,3332,42.72
2026-09-09T11:29:22.959,1788933562.9599,104,-1412,-18.1
2026-09-09T11:29:22.965,1788933562.9659,105,2988,38.31
2026-09-09T11:29:22.974,1788933562.9749,106,-996,-12.77
2026-09-09T11:29:22.974,1788933562.9749,107,2652,34.0
2026-09-09T11:29:22.990,1788933562.9908,108,-596,-7.64
2026-09-09T11:29:23.006,1788933563.0066,109,2280,29.23
2026-09-09T11:29:23.011,1788933563.0114,110,-4104,-52.62
2026-09-09T11:29:23.031,1788933563.0316,111,1956,25.08
2026-09-09T11:29:23.031,1788933563.0316,112,-3780,-48.46
2026-09-09T11:29:23.053,1788933563.0537,113,1568,20.1
2026-09-09T11:29:23.061,1788933563.0617,114,-3492,-44.77
2026-09-09T11:29:23.061,1788933563.0617,115,1180,15.13
2026-09-09T11:29:23.080,1788933563.0807,116,-3152,-40.41
2026-09-09T11:29:23.084,1788933563.0847,117,760,9.74
2026-09-09T11:29:23.102,1788933563.1025,118,-2820,-36.15
2026-09-09T11:29:23.102,1788933563.1025,119,316,4.05
2026-09-09T11:29:23.116,1788933563.1165,120,-2496,-32.0
2026-09-09T11:29:23.134,1788933563.1346,121,3864,49.54
2026-09-09T11:29:23.134,1788933563.1346,122,-2148,-27.54
2026-09-09T11:29:23.134,1788933563.1346,123,3632,46.56
2026-09-09T11:29:23.148,1788933563.1486,124,-1812,-23.23
2026-09-09T11:29:23.169,1788933563.1694,125,3404,43.64
2026-09-09T11:29:23.180,1788933563.1800,126,-1428,-18.31
2026-09-09T11:29:23.198,1788933563.1982,127,3120,40.0
2026-09-09T11:29:23.198,1788933563.1982,128,-1020,-13.08
2026-09-09T11:29:23.198,1788933563.1982,129,2780,35.64
2026-09-09T11:29:23.221,1788933563.2215,130,-4632,-59.38
2026-09-09T11:29:23.227,1788933563.2274,131,2460,31.54
2026-09-09T11:29:23.231,1788933563.2318,132,-4272,-54.77
2026-09-09T11:29:23.243,1788933563.2430,133,2048,26.26
2026-09-09T11:29:23.251,1788933563.2517,134,-3968,-50.87
2026-09-09T11:29:23.271,1788933563.2717,135,1684,21.59
2026-09-09T11:29:23.281,1788933563.2819,136,-3624,-46.46
2026-09-09T11:29:23.291,1788933563.2919,137,1268,16.26
2026-09-09T11:29:23.298,1788933563.2989,138,-3248,-41.64
2026-09-09T11:29:23.310,1788933563.3105,139,796,10.21
2026-09-09T11:29:23.317,1788933563.3175,140,-2856,-36.62
2026-09-09T11:29:23.327,1788933563.3278,141,4352,55.79
2026-09-09T11:29:23.337,1788933563.3370,142,-2448,-31.38
2026-09-09T11:29:23.350,1788933563.3507,143,3996,51.23
2026-09-09T11:29:23.356,1788933563.3567,144,-2024,-25.95
2026-09-09T11:29:23.364,1788933563.3644,145,3640,46.67
2026-09-09T11:29:23.383,1788933563.3833,146,-1596,-20.46
2026-09-09T11:29:23.392,1788933563.3923,147,3216,41.23
2026-09-09T11:29:23.402,1788933563.4030,148,-1120,-14.36
2026-09-09T11:29:23.407,1788933563.4080,149,2792,35.79
2026-09-09T11:29:23.422,1788933563.4225,150,-4532,-58.1
2026-09-09T11:29:23.428,1788933563.4286,151,2364,30.31
2026-09-09T11:29:23.438,1788933563.4386,152,-4080,-52.31
2026-09-09T11:29:23.449,1788933563.4496,153,1952,25.03
2026-09-09T11:29:23.460,1788933563.4605,154,-3716,-47.64
2026-09-09T11:29:23.469,1788933563.4694,155,1548,19.85
2026-09-09T11:29:23.475,1788933563.4760,156,-3284,-42.1
2026-09-09T11:29:23.487,1788933563.4872,157,1124,14.41
2026-09-09T11:29:23.504,1788933563.5049,158,-2948,-37.79
2026-09-09T11:29:23.511,1788933563.5112,159,716,9.18
2026-09-09T11:29:23.519,1788933563.5197,160,-2612,-33.49
2026-09-09T11:29:23.530,1788933563.5307,161,3960,50.77
