iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_activity,q1_activity_mv
2026-09-09T16:37:07.496,1788952027.4969,1,546,7.0,1524,19.54
2026-09-09T16:37:07.501,1788952027.5017,2,-248,-3.18,1524,19.54
2026-09-09T16:37:07.507,1788952027.5078,3,-1203,-15.42,1749,22.42
2026-09-09T16:37:07.510,1788952027.5108,4,-686,-8.79,1749,22.42
2026-09-09T16:37:07.537,1788952027.5373,5,283,3.63,1486,19.05
2026-09-09T16:37:07.537,1788952027.5373,6,-607,-7.78,1486,19.05
2026-09-09T16:37:07.545,1788952027.5456,7,-1420,-18.21,1703,21.83
2026-09-09T16:37:07.551,1788952027.5517,8,-783,-10.04,1703,21.83
2026-09-09T16:37:07.560,1788952027.5607,9,-1,-0.01,1419,18.19
2026-09-09T16:37:07.561,1788952027.5617,10,-929,-11.91,1419,18.19
2026-09-09T16:37:07.561,1788952027.5617,11,-1637,-20.99,1636,20.97
2026-09-09T16:37:07.569,1788952027.5700,12,-895,-11.47,1636,20.97
2026-09-09T16:37:07.569,1788952027.5700,13,101,1.29,1738,22.28
2026-09-09T16:37:07.569,1788952027.5700,14,-1254,-16.08,1738,22.28
2026-09-09T16:37:07.569,1788952027.5700,15,-1761,-22.58,1862,23.87
2026-09-09T16:37:07.578,1788952027.5786,16,-935,-11.99,1862,23.87
2026-09-09T16:37:07.578,1788952027.5786,17,-27,-0.35,1734,22.23
2026-09-09T16:37:07.586,1788952027.5865,18,-1541,-19.76,1734,22.23
2026-09-09T16:37:07.593,1788952027.5933,19,-1903,-24.4,1876,24.05
2026-09-09T16:37:07.595,1788952027.5953,20,-983,-12.6,1876,24.05
2026-09-09T16:37:07.595,1788952027.5953,21,-155,-1.99,1748,22.41
2026-09-09T16:37:07.603,1788952027.6031,22,-775,-9.94,1748,22.41
2026-09-09T16:37:07.603,1788952027.6036,23,-1933,-24.78,1778,22.79
2026-09-09T16:37:07.611,1788952027.6117,24,-917,-11.76,1778,22.79
2026-09-09T16:37:07.611,1788952027.6117,25,-226,-2.9,1707,21.88
2026-09-09T16:37:07.619,1788952027.6195,26,-917,-11.76,1707,21.88
2026-09-09T16:37:07.626,1788952027.6261,27,-1918,-24.59,1692,21.69
2026-09-09T16:37:07.628,1788952027.6281,28,-738,-9.46,1692,21.69
2026-09-09T16:37:07.636,1788952027.6361,29,-203,-2.6,1715,21.99
2026-09-09T16:37:07.647,1788952027.6474,30,-918,-11.77,1715,21.99
2026-09-09T16:37:07.653,1788952027.6536,31,-1935,-24.81,1732,22.21
2026-09-09T16:37:07.653,1788952027.6536,32,-476,-6.1,1732,22.21
2026-09-09T16:37:07.653,1788952027.6536,33,-91,-1.17,1844,23.64
2026-09-09T16:37:07.660,1788952027.6605,34,-822,-10.54,1844,23.64
2026-09-09T16:37:07.669,1788952027.6690,35,-1807,-23.17,1716,22.0
2026-09-09T16:37:07.669,1788952027.6693,36,-238,-3.05,1716,22.0
2026-09-09T16:37:07.679,1788952027.6792,37,-37,-0.47,1770,22.69
2026-09-09T16:37:07.682,1788952027.6822,38,-785,-10.06,1770,22.69
2026-09-09T16:37:07.686,1788952027.6864,39,-1730,-22.18,1693,21.71
2026-09-09T16:37:07.694,1788952027.6944,40,-1299,-16.65,1693,21.71
2026-09-09T16:37:07.694,1788952027.6944,41,-6,-0.08,1724,22.1
2026-09-09T16:37:07.704,1788952027.7042,42,-762,-9.77,1724,22.1
2026-09-09T16:37:07.708,1788952027.7081,43,-1667,-21.37,1661,21.29
2026-09-09T16:37:07.711,1788952027.7119,44,-1136,-14.56,1661,21.29
